case_id,resolution,curvature_a,apex_x0,apex_y0,expected_gap,calg_gap,linear_gap,calg_error,linear_error,calg_elapsed_s,linear_elapsed_s,calg_candidate_pairs,linear_candidate_pairs,calg_contacts,linear_contacts,calg_better,error_ratio_linear_over_calg,notes
57,8,0.5677306025489822,0.04805301383720331,-0.08096426770953717,0.05894261789327766,0.05894261789327766,0.06397515498980512,0.0,0.005032537096527456,1.7100001059588976e-07,0.00010936500007119321,1,128,1,1,True,503253709652.7456,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
58,3,0.7691390057727454,-0.14491731675399944,-0.048762596813012975,0.05755169957514086,0.05755169957514086,0.08909535919897077,0.0,0.031543659623829906,1.749999682942871e-07,0.00014648599994870892,1,18,1,1,True,3154365962382.9907,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
59,4,0.9257196610559129,-0.05310262778925727,-0.12486456038527366,0.035086311127179345,0.035086311127179345,0.052129779795534,0.0,0.017043468668354655,1.8900004761235323e-07,6.531999997605453e-05,1,32,1,1,True,1704346866835.4656,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
60,6,0.9102409759765264,-0.024283836664878364,-0.09686881370672296,0.059966708583483304,0.059966708583483304,0.06904478923321655,0.0,0.009078080649733249,2.0600009520421736e-07,0.00014851300011287094,1,72,1,1,True,907808064973.3248,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
61,6,0.9765886147259987,0.11525778700568477,-0.036598337052129934,0.052681688734574364,0.052681688734574364,0.06696312115875598,0.0,0.014281432424181617,3.559998731361702e-07,9.064300002137315e-05,1,72,1,1,True,1428143242418.1616,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
62,3,1.0840023170934345,0.1296914185411065,0.2335275713661823,0.0716987205833644,0.0716987205833644,0.11550125117837978,0.0,0.043802530595015376,1.6400008462369442e-07,5.37779999376653e-05,1,18,1,1,True,4380253059501.5376,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
63,4,0.8178813112895349,-0.14510840872638556,-0.09031352524077432,0.06250572062896267,0.06250572062896267,0.08639847357352394,0.0,0.023892752944561266,1.880000581877539e-07,5.959899999652407e-05,1,32,1,1,True,2389275294456.1265,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
64,3,0.9908951417021303,0.12116354602889386,-0.19934399471745423,0.03694914633523099,0.03694914633523099,0.0666815716952764,0.0,0.02973242536004541,1.8599985196487978e-07,5.134799994266359e-05,1,18,1,1,True,2973242536004.541,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
65,6,0.8134362182770067,0.04665225919280036,0.03842355205853955,0.04678230698325859,0.04678230698325859,0.049753628949330365,0.0,0.002971321966071777,1.969999630091479e-07,0.000204810000013822,1,72,1,1,True,297132196607.17773,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
66,5,0.5637756981313055,-0.11930443432529463,-0.06431924666250824,0.06742763391920252,0.06742763391920252,0.07229499473368826,0.0,0.004867360814485744,1.9499998415994924e-07,7.659799985049176e-05,1,50,1,1,True,486736081448.5744,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
