method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.017,4.149969594915981e-05,0.0085801593098381,0.51112158883558,1.935162603218521e-05,0.0040009939943674,0.23833991112238126,-0.0003270413935519967,0.0213653577715456,1.754286013589892,-0.0001274468771485,26.565086246690942
CALG,0.0172,4.324573967805223e-05,0.0087302275158876,0.5524234116762339,2.016581959443653e-05,0.0040709719480939,0.2575992674087395,-0.0003227105802600938,0.0216541029660636,1.389230146358587,-0.0001231171887342,25.71228663114229
CALG,0.0174,4.502358187484512e-05,0.0088892200028648,0.5873176509853183,2.099484102579402e-05,0.0041451113623604,0.27387071842405925,-0.0003183378638003942,0.0218636194101198,1.0204749521031293,-0.0001187456653552,24.846636845474123
CALG,0.0176,4.6834481943022754e-05,0.0090545094910853,0.6149768117028968,2.1839277595740725e-05,0.0042221871165302,0.2867683968848064,-0.0003139391357131899,0.0219936780883804,0.6495038950781186,-0.000114348202035,23.971221854457852
CALG,0.0178,4.867917256941301e-05,0.0092234624001841,0.6348345263535036,2.269947096174979e-05,0.0043009711519105,0.2960282012998409,-0.0003095302762184948,0.0220443356090531,0.27775670082669124,-0.0001099406822744,23.08917821614256
CALG,0.018,5.055787087755725e-05,0.0093935009153465,0.6465714752474854,2.3575522370193613e-05,0.004380261413712,0.30150123045247895,-0.00030512709958958883,0.0220159217186242,-0.0933730097775218,-0.0001055389233646,22.2036825281158
CALG,0.0182,5.247030043005474e-05,0.0095621572344412,0.65009718943534,2.446730291620625e-05,0.0044589071469022,0.3031452979787416,-0.0003007453019070877,0.0219090273859607,-0.4625391073635071,-0.0001011586240874,21.317938868994027
CALG,0.0184,5.441572244348214e-05,0.0097271196297182,0.6455286185052943,2.537446809938032e-05,0.0045358303751274,0.301014938367237,-0.0002964004110618951,0.0217244935710577,-0.8284435311977782,-9.681531467188588e-05,20.435165349101776
CALG,0.0186,5.639297455123371e-05,0.0098862701871352,0.633166319560579,2.629647589933587e-05,0.0046100434988506,0.2952503036969149,-0.00029210773885218755,0.0214634007459349,-1.1898362238448104,-9.252430885328676e-05,19.55857994548772
CALG,0.0188,5.840051546353309e-05,0.0100377142928199,0.6134690811082504,2.723260760079116e-05,0.0046806630451138,0.2860653305620892,-0.0002878823350213888,0.0211270591915252,-1.5455145844553904,-8.830065788258123e-05,18.69138583505341
CALG,0.019,6.043647392432738e-05,0.0101798021174168,0.5870277390454548,2.818199062273874e-05,0.0047469196858539,0.2737355302663111,-0.00028373894308508785,0.0207170000557825,-1.894322592345717,-8.415910633308155e-05,17.836756462789463
CALG,0.0192,6.249870044590378e-05,0.0103111425038574,0.554538874336948,2.914362264259951e-05,0.0048081647138762,0.2585857238479732,-0.000279691957802794,0.0202349671247985,-2.2351497403630485,-8.011404956355384e-05,16.997820585742442
CALG,0.0194,6.458482040808122e-05,0.0104306097918342,0.5167790061642761,3.0116396356812125e-05,0.0048638732251588,0.24097800814813378,-0.0002757553841687965,0.0196829092308876,-2.56692990323899,-7.617949270800894e-05,16.17764752433888
CALG,0.0196,6.66922872369774e-05,0.0105373442131134,0.4745798129876368,3.109912427843448e-05,0.00491364430319,0.22130020120190527,-0.00027194279781318775,0.0190629731992858,-2.888640250299127,-7.236901108684246e-05,15.379232830777696
CALG,0.0198,6.881843451818359e-05,0.0106307465664966,0.4288048296106061,3.20905630379828e-05,0.0049571985358623,0.1999549759012787,-0.00026826730672939447,0.0183774972184318,-3.1993002950832232,-6.869571195225466e-05,14.60548455619061
CALG,0.02,7.096052605277958e-05,0.0107104679310459,0.3803279832605709,3.3089436725079746e-05,0.0049943732186702,0.17734985120505437,-0.0002647415142675996,0.017629004507378,-3.497971157104387,-6.517219750847014e-05,13.859210264010793
CALG,0.0202,7.311580302123144e-05,0.0107763952027785,0.33001424796732526,3.409445888089696e-05,0.0050251156103604,0.15388817112743078,-0.0002613774833619964,0.0168201971475644,-3.7837550936817914,-6.181052917292318e-05,13.143104903231778
CALG,0.0204,7.528152757652062e-05,0.0108286332454806,0.27870261590379775,3.510435282647745e-05,0.0050494746097194,0.12996116414377618,-0.00025818670198619886,0.0159539499445258,-4.05579534286243,-5.8622193071455886e-05,12.459739623270858
CALG,0.0206,7.745502234628165e-05,0.0108674844328685,0.22719150836603277,3.611787008255679e-05,0.0050675912159268,0.10594114021887055,-0.0002551800498557938,0.0150333041876615,-4.31327630229387,-5.561806678616721e-05,11.811551585785711
CALG,0.0208,7.963370547120485e-05,0.0108934263295242,0.17622667895232966,3.71338067084101e-05,0.0050796881210044,0.08217584996669684,-0.00025236776642599545,0.0140614611824669,-4.555424053852165,-5.2808387401209744e-05,11.200834810178996
CALG,0.021,8.181512094762589e-05,0.0109070882144047,0.12649159818495706,3.815101745061056e-05,0.005086058762549,0.058984000925912945,-0.000249759420249393,0.0130417754391091,-4.781507230031342,-5.020272091207922e-05,10.629732080887786
CALG,0.0212,8.399696417364655e-05,0.0109092270958859,0.07860025301990549,3.916842765579881e-05,0.0050870561393636,0.0366518999161042,-0.00024736387978739616,0.0119777474132924,-4.990838205855337,-4.780993308907411e-05,10.100227944710062
CALG,0.0214,8.617710271346946e-05,0.010900703803781,0.0320451086647991,4.018504295275754e-05,0.0050830816629824,0.01494287957680575,-0.0002451892857804894,0.0108730157095933,-5.178948698628067,-4.5638161898994833e-05,9.614142835658152
CALG,0.0216,8.835359239839358e-05,0.0108824596740744,-0.016594238986498016,4.119995676073185e-05,0.0050745742855838,-0.007738020720658166,-0.00024324302529948882,0.0097313486731317,-5.330491104739799,-4.3694791607290506e-05,9.173128374761754
CALG,0.0218,9.05246889722766e-05,0.0108554942685248,-0.06576981571137377,4.221235571973125e-05,0.0050620001104708,-0.030668968741656717,-0.00024153170761359588,0.0085566353122254,-5.446386659911106,-4.1986428694199e-05,8.778663897330018
CALG,0.022,9.268885556075468e-05,0.0108208444959866,-0.11403666368117082,4.322152317345895e-05,0.0050458426561829,-0.05317616958497656,-0.00024006114201459428,0.0073528755119867,-5.52763986465782,-4.051887972364443e-05,8.432054246071909
CALG,0.0222,9.48447663037394e-05,0.0107795654272292,-0.1600770172849757,4.4226840863227646e-05,0.0050265939102998,-0.07464513905459569,-0.0002388363177448921,0.0061241695161764,-5.575327906204917,-3.92971313130791e-05,8.13442882247157
CALG,0.0224,9.699130653319232e-05,0.0107327130218782,-0.20271879204320295,4.5227789010754416e-05,0.0050047462748817,-0.09452932518167761,-0.00023786138617769292,0.0048747066717647,-5.590591475861625,-3.832533234958413e-05,7.886741804588274
CALG,0.0226,9.912756990826388e-05,0.0106813289163836,-0.24094862335999942,4.6223944982388965e-05,0.0049807854729821,-0.11235618829467378,-0.00023713964539179289,0.0036087534470492,-5.574626888725724,-3.76067785970019e-05,7.689773317092924
CALG,0.0228,0.0001012528529376,0.0106264273568289,-0.27391978981393134,4.721498073473329e-05,0.0049551844553171,-0.12773089571044538,-0.00023667352728409807,0.0023306407496465,-5.528679392048514,-3.714389983598687e-05,7.544131203532074
CALG,0.023,0.0001033666473214,0.0105689843009087,-0.300955434247174,4.820065924368566e-05,0.0049283983184337,-0.14033782375282233,-0.00023646458735049336,0.001044750584976,-5.454037533534072,-3.693824966644055e-05,7.450252941559766
CALG,0.0232,0.0001054686305423,0.0105099286602964,-0.32154755555929426,4.9180830116887786e-05,0.0049008602209589,-0.14994008761832073,-0.0002365134972551891,-0.0002444978913337,-5.352028451013458,-3.6990498095024194e-05,7.408407208012003
CALG,0.0234,0.0001075577755229,0.010445737643217,-0.3353522857354113,5.015501442032222e-05,0.00487092745811,-0.1563773390182081,-0.00023681682654459746,-0.0015165940589115,-5.224013939856509,-3.729721182632595e-05,7.588116664923174
CALG,0.0236,0.0001096299569197,0.0103609199465647,-0.3421819914097779,5.112128847471753e-05,0.004831376316614,-0.15956208307711042,-0.0002373578629899925,-0.0027051289264092,-5.0713871537505195,-3.784167051444631e-05,8.47502677922548
CALG,0.0238,0.0001116821777321,0.0102611172798952,-0.3419947486311811,5.2078254755824616e-05,0.0047848375688417,-0.15947477033551674,-0.00023812023884299538,-0.0038118249159865,-4.895569797535998,-3.860749970401034e-05,9.356875490380263
CALG,0.024,0.0001137125348825,0.010151799251439,-0.334881735065807,5.302502584380448e-05,0.0047338617349982,-0.15615791763742254,-0.00023908796250389497,-0.0048385627967017,-4.698009677142581,-3.957870262433216e-05,10.231231608476763
CALG,0.0242,0.0001157201624305,0.0100381515430096,-0.3210530673979655,5.396119794415233e-05,0.0046808669382258,-0.14970950400182753,-0.00024024544257189584,-0.0057873435885531,-4.480178480746512,-4.073968431721198e-05,11.096024744102383
CALG,0.0244,0.0001177051563648,0.0099249837934018,-0.30082258498981895,5.488681581709842e-05,0.0046280959499275,-0.14027587512673875,-0.0002415775054170899,-0.0066602561631016,-4.2435696765138955,-4.2075269236260815e-05,11.94943068982568
CALG,0.0246,0.0001196684848717,0.0098166569865816,-0.27459204575944296,5.58023309353492e-05,0.0045775823303237,-0.12804437380607872,-0.00024306940735718818,-0.0074594502839627,-3.989696425222686,-4.357071340746477e-05,12.789793688403632
CALG,0.0248,0.0001216118878575,0.0097170297161524,-0.24283515856176974,5.67085546305246e-05,0.0045311253711615,-0.11323589410663888,-0.00024470684246438723,-0.0081871147416517,-3.7200894201051202,-4.521171217805597e-05,13.615573461657824
CALG,0.025,0.0001235377693002,0.0096294223378261,-0.20608182984851123,5.760660789595057e-05,0.0044902733797371,-0.09609753546495799,-0.00024647594693349983,-0.0088454601677574,-3.4362945809770027,-4.698440449224517e-05,14.425310176437812
CALG,0.0252,0.000125449085754,0.009556597727486,-0.1649029526862303,5.849786939549073e-05,0.0044563147062334,-0.07689550968996199,-0.00024836330085629965,-0.009436706062638,-3.139870544712418,-4.8875374543636e-05,15.21760300178381
CALG,0.0254,0.0001273492340231,0.009500757132773,-0.11989601487171325,5.9383923085014334e-05,0.0044302758092828,-0.05590842991694637,-0.00025035592814388885,-0.0099630715374375,-2.8323859089370895,-5.087165155392981e-05,15.991099126631063
CALG,0.0256,0.0001292419406893,0.0094635494385666,-0.07062461311467295,6.026650669808953e-05,0.004412925576532,-0.032932797949606386,-0.0002524412952375904,-0.0104267692539002,-2.519242090962496,-5.296070832375155e-05,16.744490751882044
CALG,0.0258,0.0001311311558174,0.0094460920577009,-0.013817730217030895,6.114746218024297e-05,0.004404785066143,-0.006443313418520883,-0.0002546073091429929,-0.0108300020426229,-2.216770421740802,-5.513045909703862e-05,17.476517965707817
