method,time,ux_m,vx_m_s,ax_m_s2,uy_m,vy_m_s,ay_m_s2,uz_m,vz_m_s,az_m_s2,gap_m,contact_force_N
calg,0.2558,0.0134806383316719,0.0997699494428639,0.2966310727553988,0.0062861248908752,0.0465234914789423,0.13832134087261566,0.0010843523792138099,0.0208160247549935,0.2213270074786384,-0.000109042744918,22.64322068241079
calg,0.256,0.0135006038708145,0.0998292546235526,0.2963962963795683,0.0062954349746765,0.0465511459388657,0.13821186285061204,0.0010885233700054092,0.0208604003050672,0.2215872722627627,-0.0001090377705726,22.643602312745397
calg,0.2562,0.013520581261127,0.0998885128169944,0.2961612936014999,0.0063047505847692,0.0465787784882761,0.13810227925551083,0.0010927032441426093,0.0209048239661217,0.2218474588905114,-0.0001090327777839,22.64398220645077
calg,0.2564,0.0135405704932011,0.0999477239691863,0.29592606436232444,0.006314071716766,0.0466063891019914,0.137992590059861,0.0010968920112187086,0.0209492955944089,0.22210756940431237,-0.0001090277673494,22.644360530167628
calg,0.2566,0.0135605715576173,0.1000068880261254,0.2956906086194892,0.0063233983662744,0.0466339777548296,0.1378827952438201,0.0011010896808013038,0.0209938150614278,0.2223676059581894,-0.0001090227400928,22.64473745599328
calg,0.2568,0.0135805844449455,0.1000660049338406,0.2954549263471735,0.0063327305288973,0.0466615444216236,0.1377728947953477,0.001105296262435107,0.021038382254343,0.22262757080783735,-0.0001090176968606,22.645113160838328
calg,0.257,0.0136006091457449,0.1001250746384185,0.29521901753639673,0.0063420682002325,0.0466890890772333,0.13766288871025556,0.0011095117656462067,0.021082997076356,0.2228874663007703,-0.0001090126385196,22.645487825869893
calg,0.2572,0.0136206456505637,0.100184097086041,0.2949828821951431,0.0063514113758721,0.0467166116965628,0.137552776992267,0.0011137361999437045,0.0211276594469991,0.2231472948660625,-0.0001090075659525,22.645861635678862
calg,0.2574,0.0136406939499395,0.1002430722230081,0.29474652034850934,0.006360760051404,0.0467441122545712,0.13744255965308516,0.001117969574824712,0.0211723693023921,0.22340705900363214,-0.000109002480056,22.646234777824063
calg,0.2576,0.0136607540343992,0.100301999995771,0.2945099320384598,0.0063701142224108,0.0467715907262886,0.1373322367122782,0.001122211899776307,0.0212171265954222,0.22366676127386576,-0.0001089973817368,22.64660744198424
calg,0.2578,0.013680825894459,0.1003608803509604,0.2942731173240415,0.0063794738844701,0.0467990470868283,0.13722180819738014,0.001126463184279905,0.0212619312958708,0.22392640428621088,-0.0001089922719084,22.64697981935904
calg,0.258,0.0137009095206244,0.1004197132354119,0.294036076281058,0.0063888390331547,0.0468264813113994,0.13711127414373886,0.0011307234378141046,0.0213067833904815,0.22418599068838604,-0.000108987151488,22.6473521019871
calg,0.2582,0.0137210049033905,0.1004784985961983,0.2937988090018016,0.006398209664032,0.0468538933753216,0.1370006345943908,0.0011349926698584062,0.0213516828829553,0.22444552315531743,-0.0001089820213926,22.64772448195424
calg,0.2584,0.0137411120332416,0.1005372363806518,0.2935613155951691,0.0064075857726652,0.0468812832540353,0.1368898896001156,0.00113927088989621,0.0213966297938987,0.22470500437724733,-0.0001089768825363,22.64809715083023
calg,0.2586,0.0137612309006518,0.1005959265363912,0.2933235961858741,0.006416967354612,0.0469086509231148,0.1367790392190682,0.0011435581074186046,0.0214416241607023,0.22496443704921104,-0.0001089717358267,22.648470298900712
calg,0.2588,0.0137813614960846,0.1006545690113498,0.293085650914653,0.0064263544054256,0.0469359963582812,0.13666808351687498,0.0011478543319272116,0.0214866660373539,0.22522382385884335,-0.0001089665821611,22.648844114436017
calg,0.259,0.0138015038099932,0.1007131637537928,0.2928474799375395,0.0064357469206541,0.04696331953541,0.13655702256629593,0.0011521595729382106,0.0215317554942107,0.2254831674755723,-0.0001089614224247,22.64921878318409
calg,0.2592,0.0138216578328206,0.1007717107123462,0.2926090834254122,0.0064451448958412,0.0469906204305451,0.13644585644701326,0.0011564738399843094,0.0215768926176874,0.22574247053945526,-0.0001089562574853,22.649594487483263
calg,0.2594,0.0138418235549995,0.1008302098360129,0.2923704615635464,0.0064545483265254,0.0470178990199062,0.13633458524542208,0.0011607971426194075,0.0216220775099094,0.22600173565001674,-0.000108951088192,22.649971405803868
calg,0.2596,0.0138620009669525,0.1008886610741988,0.29213161455110076,0.0064639572082409,0.047045155279901,0.13622320905439145,0.0011651294904203996,0.0216673102882881,0.22626096535529955,-0.0001089459153709,22.650349711920896
